Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
GSM8263915_1	(0.0, 8213.0)	(1.0, 7445.5)	(2.0, 6509.5)	(3.0, 6142.5)	(4.0, 5667.0)	(5.0, 5286.5)	(6.0, 5032.5)	(7.0, 4792.0)	(8.0, 4631.0)	(9.0, 4421.0)	(10.0, 4191.0)	(11.0, 4110.0)	(12.0, 4104.5)	(13.0, 4169.0)	(14.0, 4602.0)	(15.0, 5209.5)	(16.0, 6235.0)	(17.0, 7823.5)	(18.0, 9433.5)	(19.0, 11602.0)	(20.0, 15180.0)	(21.0, 20438.0)	(22.0, 28249.5)	(23.0, 40197.0)	(24.0, 55654.0)	(25.0, 75529.5)	(26.0, 106626.5)	(27.0, 167721.0)	(28.0, 217854.0)	(29.0, 256217.0)	(30.0, 325460.5)	(31.0, 391007.5)	(32.0, 423065.5)	(33.0, 530571.0)	(34.0, 613388.0)	(35.0, 665031.5)	(36.0, 783218.0)	(37.0, 795682.0)	(38.0, 777417.0)	(39.0, 825309.0)	(40.0, 879586.0)	(41.0, 918351.0)	(42.0, 951716.0)	(43.0, 1012517.0)	(44.0, 1095310.0)	(45.0, 1169054.5)	(46.0, 1268348.0)	(47.0, 1383316.5)	(48.0, 1447172.0)	(49.0, 1448999.5)	(50.0, 1427585.5)	(51.0, 1442037.0)	(52.0, 1464987.0)	(53.0, 1474795.5)	(54.0, 1479865.0)	(55.0, 1450314.5)	(56.0, 1388237.0)	(57.0, 1301418.0)	(58.0, 1203369.0)	(59.0, 1065914.0)	(60.0, 944790.5)	(61.0, 912596.0)	(62.0, 940398.0)	(63.0, 990449.5)	(64.0, 1071946.0)	(65.0, 904059.0)	(66.0, 615593.5)	(67.0, 565330.0)	(68.0, 574515.5)	(69.0, 573898.5)	(70.0, 578265.0)	(71.0, 685804.5)	(72.0, 721268.5)	(73.0, 543469.0)	(74.0, 469875.5)	(75.0, 594316.5)	(76.0, 550876.5)	(77.0, 452314.0)	(78.0, 466691.0)	(79.0, 384634.0)	(80.0, 339005.5)	(81.0, 368391.5)	(82.0, 305060.0)	(83.0, 225494.0)	(84.0, 248206.0)	(85.0, 294353.0)	(86.0, 283788.5)	(87.0, 194978.5)	(88.0, 88222.5)	(89.0, 31883.0)	(90.0, 20262.5)	(91.0, 11334.5)	(92.0, 4447.0)	(93.0, 1894.5)	(94.0, 909.5)	(95.0, 464.5)	(96.0, 279.0)	(97.0, 215.0)	(98.0, 187.0)	(99.0, 141.0)	(100.0, 78.0)
GSM8263915_2	(0.0, 8.0)	(1.0, 6.5)	(2.0, 15.0)	(3.0, 157.5)	(4.0, 1175.0)	(5.0, 2448.5)	(6.0, 2642.5)	(7.0, 2291.5)	(8.0, 2207.0)	(9.0, 2369.5)	(10.0, 2640.5)	(11.0, 2986.0)	(12.0, 3177.5)	(13.0, 3346.5)	(14.0, 3779.5)	(15.0, 4352.5)	(16.0, 4962.0)	(17.0, 5771.0)	(18.0, 6594.5)	(19.0, 7554.0)	(20.0, 9407.0)	(21.0, 11948.5)	(22.0, 15381.0)	(23.0, 21392.0)	(24.0, 38270.5)	(25.0, 50049.0)	(26.0, 57279.5)	(27.0, 82403.0)	(28.0, 122973.5)	(29.0, 178028.5)	(30.0, 307483.5)	(31.0, 327211.5)	(32.0, 256868.5)	(33.0, 302636.0)	(34.0, 370279.0)	(35.0, 426805.5)	(36.0, 506688.0)	(37.0, 593363.0)	(38.0, 643793.5)	(39.0, 657591.5)	(40.0, 685023.0)	(41.0, 739661.0)	(42.0, 787311.0)	(43.0, 836847.0)	(44.0, 907041.5)	(45.0, 988212.0)	(46.0, 1050982.5)	(47.0, 1114824.5)	(48.0, 1192147.0)	(49.0, 1278594.0)	(50.0, 1416988.5)	(51.0, 1455232.5)	(52.0, 1382538.0)	(53.0, 1381188.5)	(54.0, 1399220.0)	(55.0, 1444205.5)	(56.0, 1450187.0)	(57.0, 1367962.5)	(58.0, 1251278.0)	(59.0, 1120820.5)	(60.0, 1042922.0)	(61.0, 997058.5)	(62.0, 963231.5)	(63.0, 976234.0)	(64.0, 981660.5)	(65.0, 863839.0)	(66.0, 812013.5)	(67.0, 734651.5)	(68.0, 574076.0)	(69.0, 556766.0)	(70.0, 517832.5)	(71.0, 464490.5)	(72.0, 505187.0)	(73.0, 504571.5)	(74.0, 484220.5)	(75.0, 508720.5)	(76.0, 505584.0)	(77.0, 565443.0)	(78.0, 663556.0)	(79.0, 725843.5)	(80.0, 612642.5)	(81.0, 492709.0)	(82.0, 665520.5)	(83.0, 852142.5)	(84.0, 917740.5)	(85.0, 867537.5)	(86.0, 720718.5)	(87.0, 488309.0)	(88.0, 248182.0)	(89.0, 129449.5)	(90.0, 70525.0)	(91.0, 41834.5)	(92.0, 23900.0)	(93.0, 12925.0)	(94.0, 8346.0)	(95.0, 6063.5)	(96.0, 4922.5)	(97.0, 4579.5)	(98.0, 4791.0)	(99.0, 5708.5)	(100.0, 25556.5)
GSM8263916_1	(0.0, 5961.0)	(1.0, 5379.5)	(2.0, 4702.0)	(3.0, 4627.0)	(4.0, 4413.0)	(5.0, 4072.5)	(6.0, 3894.0)	(7.0, 3711.5)	(8.0, 3580.5)	(9.0, 3526.0)	(10.0, 3445.5)	(11.0, 3443.0)	(12.0, 3568.0)	(13.0, 3690.0)	(14.0, 4068.5)	(15.0, 4709.5)	(16.0, 5637.5)	(17.0, 7091.5)	(18.0, 8768.0)	(19.0, 10988.0)	(20.0, 14821.5)	(21.0, 20282.5)	(22.0, 27386.5)	(23.0, 38397.5)	(24.0, 52930.0)	(25.0, 71495.0)	(26.0, 99333.5)	(27.0, 148340.5)	(28.0, 190887.5)	(29.0, 226053.5)	(30.0, 284631.5)	(31.0, 346089.5)	(32.0, 379812.5)	(33.0, 454191.0)	(34.0, 529867.5)	(35.0, 595785.0)	(36.0, 697548.0)	(37.0, 723135.5)	(38.0, 725314.0)	(39.0, 773765.5)	(40.0, 829408.0)	(41.0, 874139.5)	(42.0, 910278.5)	(43.0, 967498.5)	(44.0, 1041870.5)	(45.0, 1111630.0)	(46.0, 1202154.0)	(47.0, 1302340.0)	(48.0, 1359101.0)	(49.0, 1359016.0)	(50.0, 1332567.5)	(51.0, 1335648.5)	(52.0, 1348915.5)	(53.0, 1351587.0)	(54.0, 1359201.5)	(55.0, 1338058.0)	(56.0, 1266850.0)	(57.0, 1167976.0)	(58.0, 1071303.0)	(59.0, 951075.5)	(60.0, 850998.0)	(61.0, 821527.0)	(62.0, 835351.0)	(63.0, 870477.0)	(64.0, 931611.5)	(65.0, 795529.0)	(66.0, 559098.5)	(67.0, 511971.0)	(68.0, 524973.5)	(69.0, 533250.5)	(70.0, 528969.0)	(71.0, 584978.5)	(72.0, 613044.5)	(73.0, 507058.0)	(74.0, 486813.5)	(75.0, 627713.5)	(76.0, 584202.5)	(77.0, 467536.5)	(78.0, 460673.5)	(79.0, 377742.5)	(80.0, 336613.5)	(81.0, 364300.0)	(82.0, 302076.0)	(83.0, 221226.0)	(84.0, 234440.5)	(85.0, 268308.0)	(86.0, 265374.0)	(87.0, 193820.0)	(88.0, 90365.5)	(89.0, 35260.5)	(90.0, 25930.5)	(91.0, 15892.0)	(92.0, 6393.0)	(93.0, 2635.0)	(94.0, 1179.0)	(95.0, 585.0)	(96.0, 354.0)	(97.0, 242.5)	(98.0, 190.5)	(99.0, 156.0)	(100.0, 77.0)
GSM8263916_2	(0.0, 2.0)	(1.0, 1.0)	(2.0, 7.0)	(3.0, 131.0)	(4.0, 834.0)	(5.0, 1678.0)	(6.0, 1909.5)	(7.0, 1814.5)	(8.0, 1802.0)	(9.0, 1960.0)	(10.0, 2202.0)	(11.0, 2511.5)	(12.0, 2803.5)	(13.0, 3064.5)	(14.0, 3454.5)	(15.0, 4074.0)	(16.0, 4823.5)	(17.0, 5596.0)	(18.0, 6413.0)	(19.0, 7559.0)	(20.0, 9525.5)	(21.0, 12254.0)	(22.0, 15795.0)	(23.0, 21592.5)	(24.0, 34746.5)	(25.0, 46048.5)	(26.0, 55793.0)	(27.0, 77982.0)	(28.0, 112216.0)	(29.0, 158745.0)	(30.0, 253070.0)	(31.0, 274373.0)	(32.0, 239390.0)	(33.0, 279910.0)	(34.0, 340073.5)	(35.0, 397033.5)	(36.0, 468389.0)	(37.0, 544378.5)	(38.0, 593948.0)	(39.0, 619068.5)	(40.0, 653951.5)	(41.0, 707518.0)	(42.0, 757185.5)	(43.0, 806305.0)	(44.0, 870187.0)	(45.0, 945078.5)	(46.0, 1002676.0)	(47.0, 1062306.5)	(48.0, 1137814.5)	(49.0, 1218239.0)	(50.0, 1339129.5)	(51.0, 1372734.0)	(52.0, 1306889.5)	(53.0, 1297600.5)	(54.0, 1303435.5)	(55.0, 1337845.5)	(56.0, 1330414.5)	(57.0, 1235991.5)	(58.0, 1118997.0)	(59.0, 995126.0)	(60.0, 919449.5)	(61.0, 875858.5)	(62.0, 845744.5)	(63.0, 859861.0)	(64.0, 870059.0)	(65.0, 763913.0)	(66.0, 699302.5)	(67.0, 625934.5)	(68.0, 498201.5)	(69.0, 487532.5)	(70.0, 458788.0)	(71.0, 421254.5)	(72.0, 455289.0)	(73.0, 449385.5)	(74.0, 442110.0)	(75.0, 479310.0)	(76.0, 477024.5)	(77.0, 533936.0)	(78.0, 619598.5)	(79.0, 764247.5)	(80.0, 669528.0)	(81.0, 462870.0)	(82.0, 613786.0)	(83.0, 794034.5)	(84.0, 868677.5)	(85.0, 815816.0)	(86.0, 670353.0)	(87.0, 450473.0)	(88.0, 218266.5)	(89.0, 108747.0)	(90.0, 60012.5)	(91.0, 35545.5)	(92.0, 18698.5)	(93.0, 8876.5)	(94.0, 5815.5)	(95.0, 4453.5)	(96.0, 3870.5)	(97.0, 3721.0)	(98.0, 3904.0)	(99.0, 4849.5)	(100.0, 21612.5)
GSM8263917_1	(0.0, 5562.0)	(1.0, 4941.0)	(2.0, 4319.0)	(3.0, 4355.5)	(4.0, 4331.0)	(5.0, 4197.0)	(6.0, 4088.0)	(7.0, 3964.5)	(8.0, 3796.0)	(9.0, 3650.0)	(10.0, 3613.5)	(11.0, 3684.5)	(12.0, 3744.5)	(13.0, 4047.0)	(14.0, 4610.5)	(15.0, 5357.0)	(16.0, 6580.5)	(17.0, 8266.0)	(18.0, 10465.0)	(19.0, 13552.0)	(20.0, 18288.0)	(21.0, 24864.0)	(22.0, 34372.5)	(23.0, 48850.5)	(24.0, 66658.5)	(25.0, 88634.5)	(26.0, 121450.5)	(27.0, 179423.0)	(28.0, 230537.5)	(29.0, 272280.0)	(30.0, 338455.5)	(31.0, 402924.0)	(32.0, 445818.5)	(33.0, 548953.0)	(34.0, 627111.0)	(35.0, 680669.0)	(36.0, 793828.0)	(37.0, 824970.0)	(38.0, 827633.0)	(39.0, 884548.0)	(40.0, 945139.5)	(41.0, 990283.0)	(42.0, 1028550.0)	(43.0, 1086693.5)	(44.0, 1159784.5)	(45.0, 1223803.0)	(46.0, 1305476.0)	(47.0, 1396367.5)	(48.0, 1446312.5)	(49.0, 1438327.0)	(50.0, 1400535.5)	(51.0, 1388515.0)	(52.0, 1379361.0)	(53.0, 1354150.0)	(54.0, 1327641.5)	(55.0, 1280816.0)	(56.0, 1214294.5)	(57.0, 1130512.5)	(58.0, 1033535.5)	(59.0, 904423.5)	(60.0, 790579.5)	(61.0, 746778.0)	(62.0, 752672.5)	(63.0, 774682.5)	(64.0, 802713.0)	(65.0, 666957.0)	(66.0, 461938.5)	(67.0, 424163.5)	(68.0, 437129.0)	(69.0, 439126.5)	(70.0, 444124.0)	(71.0, 529014.0)	(72.0, 557096.5)	(73.0, 423323.5)	(74.0, 384133.5)	(75.0, 531765.5)	(76.0, 477456.0)	(77.0, 335995.5)	(78.0, 342291.0)	(79.0, 282958.5)	(80.0, 248423.5)	(81.0, 275056.5)	(82.0, 229812.0)	(83.0, 169355.0)	(84.0, 188430.5)	(85.0, 228347.0)	(86.0, 236851.0)	(87.0, 178383.0)	(88.0, 81955.0)	(89.0, 28446.0)	(90.0, 21490.0)	(91.0, 14780.0)	(92.0, 6960.0)	(93.0, 2727.0)	(94.0, 1050.0)	(95.0, 535.0)	(96.0, 304.5)	(97.0, 184.0)	(98.0, 142.5)	(99.0, 110.5)	(100.0, 63.5)
GSM8263917_2	(0.0, 14.0)	(1.0, 10.5)	(2.0, 8.5)	(3.0, 117.0)	(4.0, 780.5)	(5.0, 1625.5)	(6.0, 1861.0)	(7.0, 1784.5)	(8.0, 1789.0)	(9.0, 1898.0)	(10.0, 2189.5)	(11.0, 2544.0)	(12.0, 2818.5)	(13.0, 3179.0)	(14.0, 3697.0)	(15.0, 4313.5)	(16.0, 5079.0)	(17.0, 6091.0)	(18.0, 7141.5)	(19.0, 8380.0)	(20.0, 10709.0)	(21.0, 14194.0)	(22.0, 18532.5)	(23.0, 25579.5)	(24.0, 41421.5)	(25.0, 54989.5)	(26.0, 67100.5)	(27.0, 93937.0)	(28.0, 133744.5)	(29.0, 183858.5)	(30.0, 288706.5)	(31.0, 317516.5)	(32.0, 283446.5)	(33.0, 332074.0)	(34.0, 398792.0)	(35.0, 461196.5)	(36.0, 541007.0)	(37.0, 624184.0)	(38.0, 680571.0)	(39.0, 713608.0)	(40.0, 753397.5)	(41.0, 809941.0)	(42.0, 864103.5)	(43.0, 918390.5)	(44.0, 984953.0)	(45.0, 1060282.5)	(46.0, 1119743.0)	(47.0, 1177282.5)	(48.0, 1243743.0)	(49.0, 1315927.5)	(50.0, 1422899.0)	(51.0, 1441761.0)	(52.0, 1371047.5)	(53.0, 1355613.5)	(54.0, 1345928.5)	(55.0, 1348497.5)	(56.0, 1322651.0)	(57.0, 1234881.5)	(58.0, 1122385.0)	(59.0, 997273.0)	(60.0, 914543.0)	(61.0, 859320.5)	(62.0, 812029.5)	(63.0, 788893.0)	(64.0, 760961.5)	(65.0, 667859.5)	(66.0, 639243.0)	(67.0, 585030.0)	(68.0, 462885.5)	(69.0, 442389.0)	(70.0, 403603.5)	(71.0, 356376.0)	(72.0, 378354.5)	(73.0, 377031.5)	(74.0, 367060.0)	(75.0, 387243.0)	(76.0, 384510.5)	(77.0, 416417.5)	(78.0, 493135.0)	(79.0, 724871.0)	(80.0, 653202.0)	(81.0, 389770.0)	(82.0, 477215.0)	(83.0, 592151.0)	(84.0, 652887.5)	(85.0, 629298.0)	(86.0, 531250.5)	(87.0, 367755.0)	(88.0, 186183.5)	(89.0, 95215.0)	(90.0, 52451.5)	(91.0, 30734.5)	(92.0, 17053.5)	(93.0, 8957.5)	(94.0, 5755.0)	(95.0, 4124.5)	(96.0, 3329.0)	(97.0, 3005.5)	(98.0, 2954.0)	(99.0, 3415.0)	(100.0, 19867.5)
GSM8263918_1	(0.0, 5423.0)	(1.0, 4876.5)	(2.0, 4312.0)	(3.0, 4173.5)	(4.0, 3849.0)	(5.0, 3558.0)	(6.0, 3471.5)	(7.0, 3474.0)	(8.0, 3473.0)	(9.0, 3434.0)	(10.0, 3465.5)	(11.0, 3504.0)	(12.0, 3516.5)	(13.0, 3658.5)	(14.0, 4078.5)	(15.0, 4737.5)	(16.0, 5720.5)	(17.0, 7100.0)	(18.0, 8805.5)	(19.0, 11075.5)	(20.0, 14431.5)	(21.0, 19422.0)	(22.0, 26592.0)	(23.0, 37686.5)	(24.0, 52001.5)	(25.0, 70780.5)	(26.0, 99627.0)	(27.0, 153156.5)	(28.0, 198502.0)	(29.0, 235061.0)	(30.0, 296979.5)	(31.0, 356180.5)	(32.0, 386150.0)	(33.0, 471401.0)	(34.0, 547326.5)	(35.0, 606666.0)	(36.0, 712079.0)	(37.0, 730620.5)	(38.0, 727775.0)	(39.0, 776789.0)	(40.0, 827741.5)	(41.0, 869787.5)	(42.0, 905213.5)	(43.0, 963468.0)	(44.0, 1048976.0)	(45.0, 1132996.0)	(46.0, 1253813.0)	(47.0, 1392877.0)	(48.0, 1465671.0)	(49.0, 1455281.0)	(50.0, 1413543.5)	(51.0, 1421340.0)	(52.0, 1444676.5)	(53.0, 1467196.0)	(54.0, 1493264.5)	(55.0, 1465728.5)	(56.0, 1389749.0)	(57.0, 1288078.5)	(58.0, 1168472.5)	(59.0, 1013858.5)	(60.0, 899972.0)	(61.0, 881703.5)	(62.0, 919416.0)	(63.0, 1014216.0)	(64.0, 1163197.0)	(65.0, 967892.5)	(66.0, 615643.0)	(67.0, 562970.0)	(68.0, 577519.0)	(69.0, 573267.0)	(70.0, 563262.0)	(71.0, 636820.0)	(72.0, 668763.5)	(73.0, 529457.0)	(74.0, 480988.5)	(75.0, 602639.0)	(76.0, 563254.0)	(77.0, 477181.0)	(78.0, 490462.0)	(79.0, 405423.5)	(80.0, 365947.5)	(81.0, 406158.5)	(82.0, 330887.0)	(83.0, 229711.0)	(84.0, 242456.0)	(85.0, 281078.0)	(86.0, 266965.0)	(87.0, 181100.5)	(88.0, 82299.5)	(89.0, 30541.0)	(90.0, 17847.0)	(91.0, 9654.5)	(92.0, 4165.5)	(93.0, 1869.5)	(94.0, 921.5)	(95.0, 483.5)	(96.0, 293.0)	(97.0, 204.0)	(98.0, 158.5)	(99.0, 109.5)	(100.0, 64.5)
GSM8263918_2	(0.0, 5.0)	(1.0, 5.5)	(2.0, 9.0)	(3.0, 122.0)	(4.0, 779.0)	(5.0, 1641.5)	(6.0, 1833.0)	(7.0, 1694.5)	(8.0, 1776.5)	(9.0, 1978.0)	(10.0, 2275.5)	(11.0, 2686.5)	(12.0, 3067.5)	(13.0, 3402.0)	(14.0, 3829.5)	(15.0, 4435.5)	(16.0, 5101.5)	(17.0, 5818.5)	(18.0, 6629.0)	(19.0, 7703.0)	(20.0, 9508.5)	(21.0, 11990.5)	(22.0, 15124.0)	(23.0, 20370.0)	(24.0, 35801.0)	(25.0, 46378.0)	(26.0, 52877.0)	(27.0, 76015.5)	(28.0, 113109.0)	(29.0, 163836.5)	(30.0, 272336.0)	(31.0, 291040.0)	(32.0, 237959.0)	(33.0, 274004.0)	(34.0, 335482.5)	(35.0, 393283.5)	(36.0, 465289.0)	(37.0, 545655.0)	(38.0, 597270.5)	(39.0, 615631.0)	(40.0, 644024.5)	(41.0, 697645.5)	(42.0, 747162.0)	(43.0, 798575.0)	(44.0, 869023.0)	(45.0, 952163.0)	(46.0, 1019811.5)	(47.0, 1092775.5)	(48.0, 1185644.5)	(49.0, 1282437.5)	(50.0, 1452907.0)	(51.0, 1489030.0)	(52.0, 1369147.0)	(53.0, 1355602.0)	(54.0, 1371385.5)	(55.0, 1413745.0)	(56.0, 1417646.0)	(57.0, 1319131.5)	(58.0, 1195931.0)	(59.0, 1052156.0)	(60.0, 953966.0)	(61.0, 911855.5)	(62.0, 904901.0)	(63.0, 948543.5)	(64.0, 978310.5)	(65.0, 867281.5)	(66.0, 789069.0)	(67.0, 702895.5)	(68.0, 559331.5)	(69.0, 545663.5)	(70.0, 510092.5)	(71.0, 466395.5)	(72.0, 500346.0)	(73.0, 495310.0)	(74.0, 492889.0)	(75.0, 531434.5)	(76.0, 531037.0)	(77.0, 604481.5)	(78.0, 700457.5)	(79.0, 687935.5)	(80.0, 565092.5)	(81.0, 500381.5)	(82.0, 691234.5)	(83.0, 907646.5)	(84.0, 996824.0)	(85.0, 950489.0)	(86.0, 793922.0)	(87.0, 525147.0)	(88.0, 244447.5)	(89.0, 118419.0)	(90.0, 63735.0)	(91.0, 37692.0)	(92.0, 20747.5)	(93.0, 10761.0)	(94.0, 7099.5)	(95.0, 5310.0)	(96.0, 4536.5)	(97.0, 4399.0)	(98.0, 4682.5)	(99.0, 5745.0)	(100.0, 25007.5)
GSM8263919_1	(0.0, 4661.0)	(1.0, 3817.5)	(2.0, 2707.5)	(3.0, 2317.0)	(4.0, 2146.0)	(5.0, 2123.5)	(6.0, 2172.5)	(7.0, 2219.0)	(8.0, 2295.0)	(9.0, 2431.5)	(10.0, 2574.5)	(11.0, 2666.5)	(12.0, 2868.5)	(13.0, 3254.0)	(14.0, 3926.0)	(15.0, 4939.0)	(16.0, 6210.0)	(17.0, 8316.0)	(18.0, 11109.0)	(19.0, 14873.5)	(20.0, 20667.5)	(21.0, 28836.5)	(22.0, 40478.0)	(23.0, 58040.5)	(24.0, 80692.5)	(25.0, 108139.5)	(26.0, 147186.0)	(27.0, 214958.5)	(28.0, 275854.5)	(29.0, 327220.5)	(30.0, 405240.5)	(31.0, 481785.0)	(32.0, 536689.0)	(33.0, 656855.0)	(34.0, 746117.0)	(35.0, 811751.0)	(36.0, 941846.0)	(37.0, 981798.0)	(38.0, 993095.5)	(39.0, 1062281.5)	(40.0, 1137078.5)	(41.0, 1194126.0)	(42.0, 1239597.5)	(43.0, 1302993.5)	(44.0, 1385948.0)	(45.0, 1457119.5)	(46.0, 1547965.0)	(47.0, 1640054.5)	(48.0, 1683639.5)	(49.0, 1675258.5)	(50.0, 1627643.5)	(51.0, 1596032.5)	(52.0, 1570337.0)	(53.0, 1536614.5)	(54.0, 1492390.0)	(55.0, 1416597.5)	(56.0, 1322113.5)	(57.0, 1219028.5)	(58.0, 1101747.0)	(59.0, 943759.0)	(60.0, 813083.5)	(61.0, 768738.5)	(62.0, 770859.0)	(63.0, 783198.0)	(64.0, 818250.0)	(65.0, 694632.0)	(66.0, 487904.5)	(67.0, 454720.5)	(68.0, 474845.5)	(69.0, 473823.0)	(70.0, 466480.5)	(71.0, 554709.5)	(72.0, 585117.5)	(73.0, 432324.5)	(74.0, 380969.5)	(75.0, 516970.5)	(76.0, 463890.5)	(77.0, 336382.0)	(78.0, 350082.5)	(79.0, 295617.5)	(80.0, 280618.5)	(81.0, 332754.5)	(82.0, 274773.5)	(83.0, 189104.0)	(84.0, 206419.0)	(85.0, 251680.5)	(86.0, 254452.5)	(87.0, 184677.0)	(88.0, 87013.5)	(89.0, 32152.5)	(90.0, 21391.5)	(91.0, 14305.0)	(92.0, 7654.0)	(93.0, 3356.5)	(94.0, 1299.5)	(95.0, 646.0)	(96.0, 371.0)	(97.0, 240.5)	(98.0, 191.0)	(99.0, 165.0)	(100.0, 124.5)
GSM8263919_2	(0.0, 10.0)	(1.0, 7.5)	(2.0, 11.5)	(3.0, 59.0)	(4.0, 396.5)	(5.0, 806.5)	(6.0, 994.5)	(7.0, 1058.0)	(8.0, 1159.0)	(9.0, 1447.0)	(10.0, 1739.0)	(11.0, 2022.0)	(12.0, 2425.0)	(13.0, 2812.0)	(14.0, 3203.0)	(15.0, 3971.0)	(16.0, 4985.5)	(17.0, 6036.5)	(18.0, 7220.5)	(19.0, 9097.0)	(20.0, 12044.0)	(21.0, 16185.0)	(22.0, 21729.0)	(23.0, 30131.0)	(24.0, 48879.5)	(25.0, 65667.0)	(26.0, 81134.0)	(27.0, 114424.0)	(28.0, 162521.0)	(29.0, 220000.5)	(30.0, 336182.5)	(31.0, 374571.5)	(32.0, 344301.0)	(33.0, 399412.0)	(34.0, 478998.0)	(35.0, 557393.0)	(36.0, 648858.5)	(37.0, 743175.0)	(38.0, 814367.0)	(39.0, 858247.5)	(40.0, 911868.5)	(41.0, 985265.0)	(42.0, 1051536.0)	(43.0, 1117107.0)	(44.0, 1195434.5)	(45.0, 1280298.0)	(46.0, 1347130.5)	(47.0, 1413380.5)	(48.0, 1489549.0)	(49.0, 1565270.5)	(50.0, 1698706.0)	(51.0, 1721184.5)	(52.0, 1614411.0)	(53.0, 1582526.0)	(54.0, 1560663.5)	(55.0, 1541610.0)	(56.0, 1490794.0)	(57.0, 1366291.5)	(58.0, 1228731.0)	(59.0, 1089662.5)	(60.0, 979063.5)	(61.0, 903083.0)	(62.0, 844425.5)	(63.0, 811986.0)	(64.0, 776941.5)	(65.0, 687231.5)	(66.0, 665342.0)	(67.0, 609326.0)	(68.0, 483538.5)	(69.0, 464898.5)	(70.0, 423430.5)	(71.0, 370522.5)	(72.0, 392327.5)	(73.0, 389308.0)	(74.0, 379839.5)	(75.0, 408947.5)	(76.0, 414062.0)	(77.0, 450304.5)	(78.0, 527044.5)	(79.0, 646050.5)	(80.0, 552426.5)	(81.0, 389247.0)	(82.0, 493223.5)	(83.0, 622707.0)	(84.0, 724598.0)	(85.0, 711303.5)	(86.0, 586129.0)	(87.0, 393221.0)	(88.0, 182411.0)	(89.0, 85967.5)	(90.0, 44401.5)	(91.0, 25779.5)	(92.0, 14444.5)	(93.0, 7546.5)	(94.0, 5049.0)	(95.0, 3885.0)	(96.0, 3380.0)	(97.0, 3217.0)	(98.0, 3428.0)	(99.0, 4259.0)	(100.0, 24973.0)
