Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
GSM8263915_1	(14.0, 16.0)	(15.0, 122.0)	(16.0, 273.0)	(17.0, 575.0)	(18.0, 983.0)	(19.0, 1626.0)	(20.0, 3308.0)	(21.0, 7145.0)	(22.0, 14934.0)	(23.0, 28855.0)	(24.0, 52130.0)	(25.0, 89154.0)	(26.0, 145105.0)	(27.0, 227567.0)	(28.0, 347070.0)	(29.0, 514259.0)	(30.0, 731800.0)	(31.0, 1044490.0)	(32.0, 1506652.0)	(33.0, 2321273.0)	(34.0, 4203852.0)	(35.0, 10359025.0)	(36.0, 26383060.0)	(37.0, 479659.0)										
GSM8263915_2	(11.0, 4.0)	(12.0, 222.0)	(13.0, 2968.0)	(14.0, 10009.0)	(15.0, 16147.0)	(16.0, 18026.0)	(17.0, 19202.0)	(18.0, 21042.0)	(19.0, 25447.0)	(20.0, 34311.0)	(21.0, 50524.0)	(22.0, 78010.0)	(23.0, 115447.0)	(24.0, 163048.0)	(25.0, 223574.0)	(26.0, 301094.0)	(27.0, 411552.0)	(28.0, 569059.0)	(29.0, 800133.0)	(30.0, 1135381.0)	(31.0, 1665708.0)	(32.0, 2598794.0)	(33.0, 4426114.0)	(34.0, 8367970.0)	(35.0, 15140806.0)	(36.0, 12103659.0)	(37.0, 164682.0)							
GSM8263916_1	(14.0, 19.0)	(15.0, 107.0)	(16.0, 285.0)	(17.0, 550.0)	(18.0, 978.0)	(19.0, 1804.0)	(20.0, 3407.0)	(21.0, 7420.0)	(22.0, 15183.0)	(23.0, 29776.0)	(24.0, 54188.0)	(25.0, 92782.0)	(26.0, 150795.0)	(27.0, 234741.0)	(28.0, 353525.0)	(29.0, 524096.0)	(30.0, 745362.0)	(31.0, 1059965.0)	(32.0, 1535739.0)	(33.0, 2378837.0)	(34.0, 4318570.0)	(35.0, 10096615.0)	(36.0, 22841792.0)	(37.0, 369401.0)										
GSM8263916_2	(11.0, 1.0)	(12.0, 135.0)	(13.0, 2063.0)	(14.0, 7742.0)	(15.0, 13015.0)	(16.0, 15657.0)	(17.0, 17100.0)	(18.0, 18974.0)	(19.0, 21692.0)	(20.0, 27539.0)	(21.0, 38168.0)	(22.0, 56046.0)	(23.0, 79479.0)	(24.0, 108650.0)	(25.0, 145289.0)	(26.0, 195167.0)	(27.0, 267573.0)	(28.0, 375014.0)	(29.0, 534876.0)	(30.0, 777025.0)	(31.0, 1164100.0)	(32.0, 1844146.0)	(33.0, 3189896.0)	(34.0, 6356628.0)	(35.0, 13808355.0)	(36.0, 15485156.0)	(37.0, 266451.0)							
GSM8263917_1	(13.0, 1.0)	(14.0, 11.0)	(15.0, 70.0)	(16.0, 238.0)	(17.0, 473.0)	(18.0, 871.0)	(19.0, 1556.0)	(20.0, 3203.0)	(21.0, 6946.0)	(22.0, 14580.0)	(23.0, 28306.0)	(24.0, 50394.0)	(25.0, 86244.0)	(26.0, 139009.0)	(27.0, 214928.0)	(28.0, 321753.0)	(29.0, 472987.0)	(30.0, 672723.0)	(31.0, 950152.0)	(32.0, 1369510.0)	(33.0, 2142583.0)	(34.0, 3829839.0)	(35.0, 9335167.0)	(36.0, 24450822.0)	(37.0, 425091.0)									
GSM8263917_2	(11.0, 1.0)	(12.0, 169.0)	(13.0, 1957.0)	(14.0, 6706.0)	(15.0, 11253.0)	(16.0, 13105.0)	(17.0, 14287.0)	(18.0, 16121.0)	(19.0, 20049.0)	(20.0, 28214.0)	(21.0, 43600.0)	(22.0, 69764.0)	(23.0, 105517.0)	(24.0, 149382.0)	(25.0, 203487.0)	(26.0, 273175.0)	(27.0, 370519.0)	(28.0, 510709.0)	(29.0, 713831.0)	(30.0, 1013435.0)	(31.0, 1490244.0)	(32.0, 2343658.0)	(33.0, 4039793.0)	(34.0, 7748444.0)	(35.0, 14096022.0)	(36.0, 11085286.0)	(37.0, 148729.0)							
GSM8263918_1	(14.0, 10.0)	(15.0, 115.0)	(16.0, 283.0)	(17.0, 526.0)	(18.0, 858.0)	(19.0, 1625.0)	(20.0, 3191.0)	(21.0, 7168.0)	(22.0, 15228.0)	(23.0, 28813.0)	(24.0, 52892.0)	(25.0, 90612.0)	(26.0, 148896.0)	(27.0, 232771.0)	(28.0, 354257.0)	(29.0, 522120.0)	(30.0, 742681.0)	(31.0, 1057930.0)	(32.0, 1532516.0)	(33.0, 2371001.0)	(34.0, 4295702.0)	(35.0, 10371050.0)	(36.0, 25276465.0)	(37.0, 434231.0)										
GSM8263918_2	(11.0, 3.0)	(12.0, 159.0)	(13.0, 2552.0)	(14.0, 9256.0)	(15.0, 15461.0)	(16.0, 18569.0)	(17.0, 20251.0)	(18.0, 22432.0)	(19.0, 25506.0)	(20.0, 31656.0)	(21.0, 43552.0)	(22.0, 62586.0)	(23.0, 90096.0)	(24.0, 122951.0)	(25.0, 166574.0)	(26.0, 222608.0)	(27.0, 302921.0)	(28.0, 422294.0)	(29.0, 602248.0)	(30.0, 867946.0)	(31.0, 1283447.0)	(32.0, 2009667.0)	(33.0, 3443025.0)	(34.0, 6841173.0)	(35.0, 14804459.0)	(36.0, 15849481.0)	(37.0, 260068.0)							
GSM8263919_1	(14.0, 12.0)	(15.0, 103.0)	(16.0, 339.0)	(17.0, 649.0)	(18.0, 1124.0)	(19.0, 2123.0)	(20.0, 4137.0)	(21.0, 8834.0)	(22.0, 16994.0)	(23.0, 30617.0)	(24.0, 52716.0)	(25.0, 87358.0)	(26.0, 139069.0)	(27.0, 213929.0)	(28.0, 319228.0)	(29.0, 465900.0)	(30.0, 656739.0)	(31.0, 920944.0)	(32.0, 1318574.0)	(33.0, 2033371.0)	(34.0, 3756328.0)	(35.0, 9794158.0)	(36.0, 29711412.0)	(37.0, 626256.0)										
GSM8263919_2	(12.0, 518.0)	(13.0, 4813.0)	(14.0, 11772.0)	(15.0, 15445.0)	(16.0, 15670.0)	(17.0, 16274.0)	(18.0, 18598.0)	(19.0, 22952.0)	(20.0, 30574.0)	(21.0, 44641.0)	(22.0, 67612.0)	(23.0, 99186.0)	(24.0, 138945.0)	(25.0, 185878.0)	(26.0, 247968.0)	(27.0, 334715.0)	(28.0, 459675.0)	(29.0, 643961.0)	(30.0, 921826.0)	(31.0, 1378041.0)	(32.0, 2214597.0)	(33.0, 3922709.0)	(34.0, 7948156.0)	(35.0, 16295272.0)	(36.0, 14914111.0)	(37.0, 207005.0)								
