Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
GSM8263915_1	(1.0, 21.389191559940205)	(2.0, 12.222059334406115)	(3.0, 7.87072158703344)	(4.0, 4.994339435602846)	(5.0, 3.3710148500530566)	(6.0, 2.354683880770701)	(7.0, 1.7023504426400289)	(8.0, 1.3756967851467512)	(9.0, 1.0299947209415838)	('>10', 11.17474267488069)	('>50', 3.2815396779603496)	('>100', 6.990595883965279)	('>500', 2.9690910669102775)	('>1k', 7.336976693162427)	('>5k', 2.491707243342724)	('>10k+', 9.445294163243446)
GSM8263915_2	(1.0, 26.837225870832327)	(2.0, 11.846176595986456)	(3.0, 7.44054041017943)	(4.0, 4.487258216126585)	(5.0, 2.8637230286805324)	(6.0, 1.9387218668735333)	(7.0, 1.330019659322473)	(8.0, 0.9421579789154885)	(9.0, 0.781599615242302)	('>10', 7.554340209834949)	('>50', 2.712679280920807)	('>100', 7.52142211708328)	('>500', 4.435651522480111)	('>1k', 10.270168908366607)	('>5k', 3.4550068397798013)	('>10k+', 5.583307879375213)
GSM8263916_1	(1.0, 27.162948628464367)	(2.0, 13.501731502976453)	(3.0, 7.835854104119525)	(4.0, 4.653458858684106)	(5.0, 2.8291445661095858)	(6.0, 1.957740051527122)	(7.0, 1.4746436568689123)	(8.0, 1.1097301698986792)	(9.0, 0.9084020639159189)	('>10', 10.02218769573298)	('>50', 3.049108452889225)	('>100', 6.330595768408331)	('>500', 2.7197949921434366)	('>1k', 6.610693143296001)	('>5k', 2.095650490116066)	('>10k+', 7.738315854849474)
GSM8263916_2	(1.0, 29.697960424546498)	(2.0, 13.314946038300377)	(3.0, 7.154061633488763)	(4.0, 4.037091894328972)	(5.0, 2.3310156032511333)	(6.0, 1.4497007523277756)	(7.0, 1.0699776118389306)	(8.0, 0.7746851728154536)	(9.0, 0.5547854827571762)	('>10', 6.558681179050476)	('>50', 2.5360668009500613)	('>100', 7.601007182632029)	('>500', 4.413018661214052)	('>1k', 9.908179290238968)	('>5k', 3.505048036854836)	('>10k+', 5.093774235404506)
GSM8263917_1	(1.0, 25.730264706900698)	(2.0, 14.351679830878721)	(3.0, 8.67830795570795)	(4.0, 5.326228889522742)	(5.0, 3.4904514025963542)	(6.0, 2.2812979864369654)	(7.0, 1.6029984288420212)	(8.0, 1.2891597361115053)	(9.0, 0.9784707894241906)	('>10', 9.573179893070142)	('>50', 2.6849424993426965)	('>100', 5.7374907960963215)	('>500', 2.4972584018317994)	('>1k', 6.2600970259354805)	('>5k', 1.8633483787246137)	('>10k+', 7.654823278577642)
GSM8263917_2	(1.0, 32.33728268030781)	(2.0, 14.324384870877745)	(3.0, 8.204413512721413)	(4.0, 4.66215111556939)	(5.0, 2.6589646891191205)	(6.0, 1.7215761508936345)	(7.0, 1.158316770973297)	(8.0, 0.8842087077325879)	(9.0, 0.6284711502103782)	('>10', 6.493316811384423)	('>50', 2.324751981650733)	('>100', 6.469510819578014)	('>500', 3.931188210612943)	('>1k', 7.539928968749034)	('>5k', 2.286193361751256)	('>10k+', 4.375340197868086)
GSM8263918_1	(1.0, 24.69238957664158)	(2.0, 12.343446038097413)	(3.0, 6.878721819205337)	(4.0, 4.024483617367572)	(5.0, 2.6622445291560335)	(6.0, 1.8060888654823686)	(7.0, 1.3641825049446306)	(8.0, 1.0732333157544265)	(9.0, 0.9068385677688907)	('>10', 10.732258015677118)	('>50', 3.3215375502128843)	('>100', 6.883577279972523)	('>500', 2.959309912160905)	('>1k', 7.471196595987252)	('>5k', 2.8641609547727502)	('>10k+', 10.016330856798508)
GSM8263918_2	(1.0, 27.23637745460008)	(2.0, 12.198833412579491)	(3.0, 6.474972107550999)	(4.0, 3.6012788223761296)	(5.0, 2.25582688404456)	(6.0, 1.4378458853067575)	(7.0, 1.0418223035028291)	(8.0, 0.8143303555485192)	(9.0, 0.6117042064445835)	('>10', 7.087389243146546)	('>50', 2.547578699326871)	('>100', 7.885346461919884)	('>500', 4.86600561632704)	('>1k', 12.057214483810409)	('>5k', 4.201339998926425)	('>10k+', 5.682134064588971)
GSM8263919_1	(1.0, 14.556832236404475)	(2.0, 9.41477955446918)	(3.0, 7.8569501541949585)	(4.0, 6.691795857194411)	(5.0, 5.488441466633972)	(6.0, 4.492406378950476)	(7.0, 3.6280169344618565)	(8.0, 2.861954053758541)	(9.0, 2.255373154340986)	('>10', 14.476960431444704)	('>50', 2.82203306908219)	('>100', 5.6587218199170985)	('>500', 2.5995166059198795)	('>1k', 6.614800332209576)	('>5k', 2.149707966098398)	('>10k+', 8.431709984919438)
GSM8263919_2	(1.0, 19.586778975219588)	(2.0, 9.8213487604046)	(3.0, 8.411262530274405)	(4.0, 6.877897417574781)	(5.0, 5.557143670828483)	(6.0, 4.330508470702706)	(7.0, 3.3238146616599185)	(8.0, 2.56943847043933)	(9.0, 1.992380590089725)	('>10', 10.196354624941478)	('>50', 2.268401327321916)	('>100', 6.137028277161581)	('>500', 3.8299592269528033)	('>1k', 8.082005267725355)	('>5k', 2.708109525912104)	('>10k+', 4.307568202791087)
