Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
GSM8263915_1	66.32555560364797	54.0	150.0	150	36.36363636363637	48.462933
GSM8263915_2	61.850314336551605	57.0	150.0	150	18.181818181818183	48.462933
GSM8263916_1	60.33392829880993	54.0	150.0	150	36.36363636363637	44.815937
GSM8263916_2	58.797311669425945	57.0	150.0	150	36.36363636363637	44.815937
GSM8263917_1	60.68046860118591	52.0	150.0	150	36.36363636363637	44.517457
GSM8263917_2	55.007479288947934	55.0	150.0	150	27.27272727272727	44.517457
GSM8263918_1	63.90160986185106	55.0	150.0	150	36.36363636363637	47.540941
GSM8263918_2	62.12522561296186	57.0	150.0	150	36.36363636363637	47.540941
GSM8263919_1	72.48818347849623	52.0	150.0	150	36.36363636363637	50.160914
GSM8263919_2	67.39895361203111	54.0	150.0	150	27.27272727272727	50.160914
GSM8263920_1	77.21542554206607	52.0	150.0	150	9.090909090909092	55.034765
GSM8263920_2	72.88990060252378	54.0	150.0	150	27.27272727272727	55.034765
