Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
GSM8263915_1	(0.0, 23281.0)	(1.0, 15933.5)	(2.0, 6931.0)	(3.0, 4477.0)	(4.0, 3434.5)	(5.0, 2965.5)	(6.0, 2718.0)	(7.0, 2579.5)	(8.0, 2466.5)	(9.0, 2571.0)	(10.0, 2886.5)	(11.0, 3159.0)	(12.0, 3343.5)	(13.0, 3795.5)	(14.0, 4510.5)	(15.0, 5363.0)	(16.0, 6337.0)	(17.0, 7639.5)	(18.0, 9989.0)	(19.0, 13260.5)	(20.0, 18035.5)	(21.0, 24984.5)	(22.0, 34378.0)	(23.0, 45382.5)	(24.0, 59326.5)	(25.0, 114644.5)	(26.0, 147682.5)	(27.0, 155005.5)	(28.0, 188409.0)	(29.0, 256277.0)	(30.0, 297282.0)	(31.0, 309844.0)	(32.0, 393306.5)	(33.0, 579327.5)	(34.0, 619791.0)	(35.0, 550260.0)	(36.0, 582913.0)	(37.0, 578502.0)	(38.0, 570161.0)	(39.0, 612440.5)	(40.0, 678515.5)	(41.0, 748036.0)	(42.0, 796985.0)	(43.0, 828049.5)	(44.0, 870189.5)	(45.0, 920726.5)	(46.0, 988904.5)	(47.0, 1079795.0)	(48.0, 1134081.0)	(49.0, 1158276.5)	(50.0, 1142414.0)	(51.0, 1140129.0)	(52.0, 1159349.5)	(53.0, 1141341.0)	(54.0, 1195918.0)	(55.0, 1220669.0)	(56.0, 1108479.0)	(57.0, 936871.0)	(58.0, 817449.0)	(59.0, 796759.0)	(60.0, 848285.0)	(61.0, 860796.0)	(62.0, 800405.0)	(63.0, 693518.5)	(64.0, 537186.0)	(65.0, 417880.0)	(66.0, 337182.5)	(67.0, 326800.5)	(68.0, 402707.5)	(69.0, 472088.5)	(70.0, 441171.0)	(71.0, 556758.0)	(72.0, 600598.5)	(73.0, 533240.5)	(74.0, 517508.5)	(75.0, 534143.5)	(76.0, 537483.0)	(77.0, 821099.0)	(78.0, 745222.5)	(79.0, 381410.5)	(80.0, 390035.5)	(81.0, 320751.0)	(82.0, 316586.5)	(83.0, 290272.5)	(84.0, 277446.5)	(85.0, 254879.5)	(86.0, 303142.0)	(87.0, 332680.5)	(88.0, 215167.5)	(89.0, 113056.0)	(90.0, 55391.0)	(91.0, 23245.0)	(92.0, 10905.5)	(93.0, 3620.5)	(94.0, 1549.0)	(95.0, 737.0)	(96.0, 363.0)	(97.0, 174.0)	(98.0, 74.0)	(99.0, 47.0)	(100.0, 53.0)
GSM8263915_2	(0.0, 5058.0)	(1.0, 3840.0)	(2.0, 2372.5)	(3.0, 2025.0)	(4.0, 1914.5)	(5.0, 1891.5)	(6.0, 1952.5)	(7.0, 2020.0)	(8.0, 2148.5)	(9.0, 2214.0)	(10.0, 2253.0)	(11.0, 2440.5)	(12.0, 2765.5)	(13.0, 3252.5)	(14.0, 3773.0)	(15.0, 4476.5)	(16.0, 5350.0)	(17.0, 6627.0)	(18.0, 8545.5)	(19.0, 11325.0)	(20.0, 15613.5)	(21.0, 24760.0)	(22.0, 34089.5)	(23.0, 42523.5)	(24.0, 53987.0)	(25.0, 75214.5)	(26.0, 116470.5)	(27.0, 225251.5)	(28.0, 256707.5)	(29.0, 214452.5)	(30.0, 242638.5)	(31.0, 281373.5)	(32.0, 333242.5)	(33.0, 372180.5)	(34.0, 409720.5)	(35.0, 470660.5)	(36.0, 516161.0)	(37.0, 540575.5)	(38.0, 554772.0)	(39.0, 588822.0)	(40.0, 645423.5)	(41.0, 684271.5)	(42.0, 719911.0)	(43.0, 775599.0)	(44.0, 878992.0)	(45.0, 940998.5)	(46.0, 952215.5)	(47.0, 1011294.0)	(48.0, 1077801.0)	(49.0, 1095748.5)	(50.0, 1076711.5)	(51.0, 1075084.5)	(52.0, 1106571.5)	(53.0, 1126646.0)	(54.0, 1116524.0)	(55.0, 1082365.0)	(56.0, 1003180.5)	(57.0, 928662.5)	(58.0, 882024.0)	(59.0, 842692.0)	(60.0, 817329.5)	(61.0, 885686.0)	(62.0, 817032.0)	(63.0, 641276.0)	(64.0, 566833.0)	(65.0, 480972.5)	(66.0, 425733.5)	(67.0, 416732.5)	(68.0, 405566.5)	(69.0, 467555.0)	(70.0, 472904.5)	(71.0, 456933.5)	(72.0, 477005.0)	(73.0, 409253.5)	(74.0, 370869.5)	(75.0, 384450.5)	(76.0, 406582.0)	(77.0, 465235.5)	(78.0, 480800.5)	(79.0, 477212.5)	(80.0, 508044.5)	(81.0, 532508.5)	(82.0, 731862.0)	(83.0, 927750.5)	(84.0, 927534.0)	(85.0, 836118.0)	(86.0, 595077.0)	(87.0, 325810.5)	(88.0, 183405.0)	(89.0, 100653.5)	(90.0, 56072.5)	(91.0, 34132.5)	(92.0, 19556.5)	(93.0, 10887.5)	(94.0, 6034.5)	(95.0, 3301.0)	(96.0, 1761.0)	(97.0, 1033.0)	(98.0, 860.5)	(99.0, 2442.5)	(100.0, 18138.0)
GSM8263916_1	(0.0, 17423.0)	(1.0, 12024.0)	(2.0, 5496.0)	(3.0, 3656.5)	(4.0, 2764.0)	(5.0, 2498.5)	(6.0, 2381.5)	(7.0, 2265.0)	(8.0, 2202.0)	(9.0, 2328.0)	(10.0, 2574.5)	(11.0, 2845.0)	(12.0, 3149.0)	(13.0, 3580.5)	(14.0, 4309.5)	(15.0, 5214.5)	(16.0, 6182.0)	(17.0, 7692.0)	(18.0, 10044.0)	(19.0, 13245.0)	(20.0, 18040.0)	(21.0, 24814.5)	(22.0, 34148.0)	(23.0, 45489.0)	(24.0, 59739.5)	(25.0, 104195.5)	(26.0, 131221.0)	(27.0, 139953.5)	(28.0, 172478.5)	(29.0, 232194.5)	(30.0, 265074.0)	(31.0, 273977.0)	(32.0, 338176.5)	(33.0, 473473.5)	(34.0, 522665.0)	(35.0, 497062.0)	(36.0, 534241.5)	(37.0, 549113.0)	(38.0, 553267.0)	(39.0, 588329.0)	(40.0, 646166.5)	(41.0, 706484.0)	(42.0, 749938.0)	(43.0, 781573.5)	(44.0, 819525.5)	(45.0, 864538.5)	(46.0, 926311.0)	(47.0, 1006361.5)	(48.0, 1046192.5)	(49.0, 1060019.0)	(50.0, 1042430.5)	(51.0, 1029199.0)	(52.0, 1033258.5)	(53.0, 1016541.5)	(54.0, 1057153.5)	(55.0, 1067218.5)	(56.0, 971266.0)	(57.0, 826368.5)	(58.0, 720628.5)	(59.0, 703106.5)	(60.0, 742278.0)	(61.0, 730998.5)	(62.0, 678042.0)	(63.0, 596324.0)	(64.0, 464555.0)	(65.0, 367965.5)	(66.0, 301497.5)	(67.0, 294380.0)	(68.0, 362351.0)	(69.0, 428558.0)	(70.0, 406068.0)	(71.0, 493367.5)	(72.0, 527698.0)	(73.0, 503762.0)	(74.0, 528911.5)	(75.0, 570686.5)	(76.0, 548362.0)	(77.0, 697809.0)	(78.0, 627554.5)	(79.0, 374019.0)	(80.0, 381589.0)	(81.0, 318097.0)	(82.0, 320495.5)	(83.0, 296537.0)	(84.0, 283070.5)	(85.0, 254059.0)	(86.0, 275587.0)	(87.0, 294792.0)	(88.0, 213417.0)	(89.0, 125196.0)	(90.0, 57751.5)	(91.0, 27854.5)	(92.0, 14011.5)	(93.0, 4516.0)	(94.0, 1898.5)	(95.0, 896.5)	(96.0, 454.5)	(97.0, 223.0)	(98.0, 110.0)	(99.0, 59.5)	(100.0, 45.0)
GSM8263916_2	(0.0, 3980.0)	(1.0, 2976.5)	(2.0, 1802.5)	(3.0, 1546.0)	(4.0, 1469.0)	(5.0, 1567.5)	(6.0, 1686.0)	(7.0, 1729.0)	(8.0, 1874.5)	(9.0, 1947.0)	(10.0, 1992.5)	(11.0, 2188.0)	(12.0, 2607.5)	(13.0, 3022.0)	(14.0, 3372.5)	(15.0, 4078.5)	(16.0, 5076.5)	(17.0, 6412.5)	(18.0, 8408.5)	(19.0, 11350.5)	(20.0, 15433.0)	(21.0, 22763.0)	(22.0, 31406.5)	(23.0, 40561.5)	(24.0, 51759.5)	(25.0, 71000.0)	(26.0, 103988.5)	(27.0, 177320.0)	(28.0, 205735.0)	(29.0, 191392.0)	(30.0, 220454.5)	(31.0, 256476.0)	(32.0, 302534.5)	(33.0, 339775.5)	(34.0, 375834.0)	(35.0, 429228.5)	(36.0, 472082.5)	(37.0, 501155.0)	(38.0, 523917.5)	(39.0, 560011.0)	(40.0, 610417.0)	(41.0, 647824.5)	(42.0, 682925.0)	(43.0, 734129.5)	(44.0, 825472.5)	(45.0, 879909.5)	(46.0, 891192.0)	(47.0, 941649.5)	(48.0, 996532.0)	(49.0, 1008066.0)	(50.0, 987129.5)	(51.0, 981911.5)	(52.0, 1004791.5)	(53.0, 1016738.0)	(54.0, 1001701.5)	(55.0, 961562.5)	(56.0, 880493.5)	(57.0, 808086.0)	(58.0, 762108.0)	(59.0, 724996.5)	(60.0, 698000.0)	(61.0, 738800.5)	(62.0, 674183.5)	(63.0, 539771.5)	(64.0, 492023.5)	(65.0, 417969.0)	(66.0, 364039.0)	(67.0, 363385.0)	(68.0, 358477.0)	(69.0, 416455.5)	(70.0, 421855.0)	(71.0, 393696.5)	(72.0, 413013.0)	(73.0, 366236.0)	(74.0, 338471.5)	(75.0, 363349.5)	(76.0, 385604.5)	(77.0, 432037.0)	(78.0, 440522.0)	(79.0, 511531.5)	(80.0, 566750.5)	(81.0, 522273.5)	(82.0, 688556.5)	(83.0, 877169.0)	(84.0, 870052.0)	(85.0, 765106.0)	(86.0, 537331.5)	(87.0, 288292.5)	(88.0, 158980.5)	(89.0, 84945.0)	(90.0, 46613.5)	(91.0, 28133.5)	(92.0, 14636.0)	(93.0, 7388.5)	(94.0, 3947.0)	(95.0, 2108.0)	(96.0, 1186.5)	(97.0, 724.0)	(98.0, 655.0)	(99.0, 2084.5)	(100.0, 15183.5)
GSM8263917_1	(0.0, 18210.0)	(1.0, 12446.0)	(2.0, 5515.5)	(3.0, 3713.5)	(4.0, 2898.5)	(5.0, 2612.5)	(6.0, 2519.5)	(7.0, 2478.5)	(8.0, 2453.0)	(9.0, 2582.0)	(10.0, 2802.0)	(11.0, 3086.5)	(12.0, 3422.0)	(13.0, 3949.0)	(14.0, 4809.0)	(15.0, 5922.5)	(16.0, 7225.5)	(17.0, 9063.0)	(18.0, 12099.5)	(19.0, 16271.5)	(20.0, 22033.0)	(21.0, 30306.0)	(22.0, 41618.0)	(23.0, 54992.0)	(24.0, 71330.5)	(25.0, 117696.5)	(26.0, 150398.0)	(27.0, 167968.0)	(28.0, 203150.5)	(29.0, 263705.5)	(30.0, 306436.0)	(31.0, 327709.0)	(32.0, 404451.0)	(33.0, 561277.5)	(34.0, 603503.5)	(35.0, 563899.0)	(36.0, 605571.5)	(37.0, 619456.0)	(38.0, 628334.0)	(39.0, 672501.0)	(40.0, 737482.0)	(41.0, 800078.5)	(42.0, 845136.0)	(43.0, 879347.0)	(44.0, 918004.5)	(45.0, 962743.0)	(46.0, 1015381.5)	(47.0, 1081990.0)	(48.0, 1125119.5)	(49.0, 1141862.0)	(50.0, 1114908.5)	(51.0, 1089279.0)	(52.0, 1085668.5)	(53.0, 1055129.0)	(54.0, 1075283.0)	(55.0, 1070467.5)	(56.0, 964673.5)	(57.0, 823324.5)	(58.0, 720748.0)	(59.0, 686408.0)	(60.0, 705779.0)	(61.0, 700977.5)	(62.0, 639098.0)	(63.0, 545944.5)	(64.0, 426737.0)	(65.0, 338291.0)	(66.0, 273927.5)	(67.0, 254995.5)	(68.0, 304900.5)	(69.0, 354543.0)	(70.0, 338990.5)	(71.0, 405021.0)	(72.0, 425927.0)	(73.0, 400510.0)	(74.0, 412496.5)	(75.0, 483590.5)	(76.0, 479947.0)	(77.0, 604397.0)	(78.0, 532724.5)	(79.0, 276649.0)	(80.0, 273098.5)	(81.0, 222221.5)	(82.0, 225176.5)	(83.0, 210312.5)	(84.0, 201518.5)	(85.0, 186619.0)	(86.0, 228733.0)	(87.0, 256930.0)	(88.0, 198053.0)	(89.0, 121112.0)	(90.0, 49644.0)	(91.0, 22927.5)	(92.0, 11039.5)	(93.0, 3610.5)	(94.0, 1532.0)	(95.0, 746.5)	(96.0, 385.0)	(97.0, 180.5)	(98.0, 81.0)	(99.0, 43.0)	(100.0, 38.5)
GSM8263917_2	(0.0, 4104.0)	(1.0, 3117.5)	(2.0, 1945.5)	(3.0, 1709.0)	(4.0, 1640.5)	(5.0, 1701.0)	(6.0, 1867.0)	(7.0, 1999.5)	(8.0, 2133.5)	(9.0, 2214.5)	(10.0, 2284.5)	(11.0, 2562.5)	(12.0, 3033.0)	(13.0, 3518.0)	(14.0, 4114.0)	(15.0, 5004.5)	(16.0, 6214.0)	(17.0, 8038.5)	(18.0, 10580.0)	(19.0, 14218.5)	(20.0, 19417.5)	(21.0, 28801.5)	(22.0, 39671.0)	(23.0, 50872.0)	(24.0, 64876.5)	(25.0, 87053.0)	(26.0, 124975.0)	(27.0, 210721.0)	(28.0, 242763.0)	(29.0, 226328.0)	(30.0, 259326.5)	(31.0, 300450.0)	(32.0, 353680.5)	(33.0, 396294.5)	(34.0, 437900.0)	(35.0, 499210.5)	(36.0, 547700.0)	(37.0, 579198.0)	(38.0, 605258.5)	(39.0, 643775.0)	(40.0, 696961.5)	(41.0, 737812.5)	(42.0, 777220.5)	(43.0, 829848.5)	(44.0, 917496.5)	(45.0, 971395.5)	(46.0, 986109.5)	(47.0, 1035411.5)	(48.0, 1084142.0)	(49.0, 1093163.5)	(50.0, 1071017.0)	(51.0, 1059178.0)	(52.0, 1067163.0)	(53.0, 1058842.5)	(54.0, 1027803.0)	(55.0, 980913.0)	(56.0, 903609.0)	(57.0, 832776.5)	(58.0, 779256.0)	(59.0, 731030.5)	(60.0, 694684.0)	(61.0, 726210.5)	(62.0, 658804.0)	(63.0, 516720.5)	(64.0, 446840.0)	(65.0, 376190.0)	(66.0, 338155.0)	(67.0, 327699.0)	(68.0, 316733.0)	(69.0, 350102.5)	(70.0, 344963.0)	(71.0, 337364.0)	(72.0, 349326.0)	(73.0, 302364.5)	(74.0, 278728.0)	(75.0, 285247.0)	(76.0, 295946.5)	(77.0, 336264.0)	(78.0, 356243.5)	(79.0, 476473.0)	(80.0, 546203.5)	(81.0, 458227.0)	(82.0, 552303.5)	(83.0, 674247.5)	(84.0, 656170.5)	(85.0, 591303.5)	(86.0, 431362.0)	(87.0, 240141.0)	(88.0, 137227.0)	(89.0, 75573.5)	(90.0, 41387.5)	(91.0, 25308.0)	(92.0, 14347.5)	(93.0, 7876.5)	(94.0, 4287.5)	(95.0, 2293.5)	(96.0, 1289.0)	(97.0, 764.5)	(98.0, 657.5)	(99.0, 1627.0)	(100.0, 15095.5)
GSM8263918_1	(0.0, 16019.0)	(1.0, 11045.0)	(2.0, 4974.5)	(3.0, 3314.5)	(4.0, 2673.0)	(5.0, 2470.5)	(6.0, 2330.0)	(7.0, 2290.5)	(8.0, 2248.0)	(9.0, 2312.5)	(10.0, 2490.0)	(11.0, 2781.5)	(12.0, 3137.5)	(13.0, 3530.0)	(14.0, 4301.0)	(15.0, 5181.5)	(16.0, 5960.0)	(17.0, 7403.0)	(18.0, 9755.5)	(19.0, 13021.5)	(20.0, 17453.0)	(21.0, 23714.0)	(22.0, 32871.0)	(23.0, 43410.5)	(24.0, 57143.0)	(25.0, 106204.0)	(26.0, 136703.0)	(27.0, 143829.5)	(28.0, 174174.5)	(29.0, 234730.0)	(30.0, 270249.5)	(31.0, 283557.0)	(32.0, 355832.0)	(33.0, 506507.5)	(34.0, 549456.5)	(35.0, 510395.0)	(36.0, 542046.5)	(37.0, 542218.0)	(38.0, 547269.5)	(39.0, 589594.5)	(40.0, 647935.0)	(41.0, 714676.0)	(42.0, 766148.0)	(43.0, 801370.5)	(44.0, 841177.5)	(45.0, 891527.5)	(46.0, 964795.0)	(47.0, 1067667.5)	(48.0, 1137119.0)	(49.0, 1175730.0)	(50.0, 1145571.5)	(51.0, 1122487.0)	(52.0, 1132306.5)	(53.0, 1100409.5)	(54.0, 1175817.5)	(55.0, 1230887.0)	(56.0, 1107120.0)	(57.0, 897015.0)	(58.0, 759289.0)	(59.0, 748784.5)	(60.0, 805850.0)	(61.0, 794421.0)	(62.0, 727525.5)	(63.0, 643270.5)	(64.0, 513752.5)	(65.0, 415040.0)	(66.0, 334725.0)	(67.0, 323165.5)	(68.0, 407155.5)	(69.0, 488106.5)	(70.0, 454082.0)	(71.0, 617323.5)	(72.0, 656569.0)	(73.0, 564106.5)	(74.0, 558970.0)	(75.0, 537359.5)	(76.0, 534929.0)	(77.0, 802942.0)	(78.0, 735723.5)	(79.0, 403490.0)	(80.0, 410976.5)	(81.0, 348542.0)	(82.0, 349516.0)	(83.0, 321736.0)	(84.0, 307613.0)	(85.0, 273552.0)	(86.0, 305934.0)	(87.0, 321035.0)	(88.0, 192459.5)	(89.0, 98947.5)	(90.0, 53766.5)	(91.0, 23116.0)	(92.0, 10921.5)	(93.0, 3676.0)	(94.0, 1613.0)	(95.0, 808.5)	(96.0, 399.5)	(97.0, 193.5)	(98.0, 86.5)	(99.0, 43.5)	(100.0, 34.5)
GSM8263918_2	(0.0, 3914.0)	(1.0, 2940.0)	(2.0, 1782.5)	(3.0, 1524.0)	(4.0, 1458.5)	(5.0, 1522.5)	(6.0, 1628.5)	(7.0, 1676.5)	(8.0, 1798.0)	(9.0, 1910.0)	(10.0, 1954.0)	(11.0, 2147.0)	(12.0, 2638.5)	(13.0, 3041.5)	(14.0, 3421.5)	(15.0, 4115.5)	(16.0, 4898.0)	(17.0, 6111.5)	(18.0, 7892.5)	(19.0, 10457.0)	(20.0, 14459.5)	(21.0, 22502.0)	(22.0, 30884.5)	(23.0, 38648.0)	(24.0, 49159.5)	(25.0, 69018.0)	(26.0, 105828.5)	(27.0, 194976.5)	(28.0, 224495.0)	(29.0, 197173.0)	(30.0, 225048.0)	(31.0, 260305.5)	(32.0, 306638.0)	(33.0, 343560.5)	(34.0, 376995.0)	(35.0, 434595.0)	(36.0, 479973.0)	(37.0, 506880.5)	(38.0, 526793.0)	(39.0, 561371.0)	(40.0, 615626.5)	(41.0, 654736.5)	(42.0, 692489.5)	(43.0, 750043.5)	(44.0, 876262.5)	(45.0, 947562.0)	(46.0, 953761.5)	(47.0, 1017752.5)	(48.0, 1080512.0)	(49.0, 1093003.0)	(50.0, 1062425.5)	(51.0, 1049999.0)	(52.0, 1068944.0)	(53.0, 1085645.5)	(54.0, 1071787.5)	(55.0, 1028979.0)	(56.0, 945574.0)	(57.0, 858326.5)	(58.0, 801935.0)	(59.0, 761417.0)	(60.0, 744327.5)	(61.0, 803819.5)	(62.0, 725881.5)	(63.0, 572023.0)	(64.0, 534980.0)	(65.0, 466805.5)	(66.0, 412389.5)	(67.0, 417704.0)	(68.0, 411150.5)	(69.0, 492430.5)	(70.0, 500502.5)	(71.0, 454559.0)	(72.0, 481062.0)	(73.0, 424307.5)	(74.0, 382392.5)	(75.0, 404218.0)	(76.0, 432655.0)	(77.0, 504599.5)	(78.0, 520092.5)	(79.0, 463857.5)	(80.0, 474821.0)	(81.0, 534225.0)	(82.0, 773077.0)	(83.0, 997501.5)	(84.0, 986902.5)	(85.0, 891793.5)	(86.0, 642613.5)	(87.0, 339158.0)	(88.0, 177372.5)	(89.0, 91463.5)	(90.0, 50813.0)	(91.0, 30569.5)	(92.0, 16815.0)	(93.0, 9101.5)	(94.0, 4848.0)	(95.0, 2592.0)	(96.0, 1458.0)	(97.0, 875.0)	(98.0, 738.5)	(99.0, 2341.0)	(100.0, 17325.5)
GSM8263919_1	(0.0, 11190.0)	(1.0, 7303.5)	(2.0, 2838.5)	(3.0, 2015.5)	(4.0, 1713.5)	(5.0, 1689.5)	(6.0, 1715.5)	(7.0, 1795.5)	(8.0, 1928.0)	(9.0, 2089.0)	(10.0, 2379.5)	(11.0, 2755.0)	(12.0, 3281.0)	(13.0, 4057.5)	(14.0, 5112.5)	(15.0, 6413.5)	(16.0, 8091.5)	(17.0, 10696.0)	(18.0, 14445.5)	(19.0, 19719.0)	(20.0, 27362.0)	(21.0, 37596.0)	(22.0, 51830.0)	(23.0, 69394.5)	(24.0, 91018.0)	(25.0, 145502.5)	(26.0, 186644.0)	(27.0, 213109.0)	(28.0, 255125.0)	(29.0, 322162.0)	(30.0, 376005.0)	(31.0, 409974.0)	(32.0, 499657.0)	(33.0, 673943.5)	(34.0, 727233.0)	(35.0, 687836.5)	(36.0, 736043.5)	(37.0, 762363.5)	(38.0, 786824.5)	(39.0, 840426.0)	(40.0, 911168.0)	(41.0, 990158.5)	(42.0, 1045177.0)	(43.0, 1082098.5)	(44.0, 1127904.0)	(45.0, 1176790.5)	(46.0, 1227335.5)	(47.0, 1293893.0)	(48.0, 1346124.5)	(49.0, 1374838.5)	(50.0, 1335089.5)	(51.0, 1286047.5)	(52.0, 1275706.0)	(53.0, 1236927.5)	(54.0, 1233706.0)	(55.0, 1214892.0)	(56.0, 1080744.0)	(57.0, 900809.0)	(58.0, 783959.0)	(59.0, 737295.0)	(60.0, 739204.0)	(61.0, 720151.0)	(62.0, 653656.5)	(63.0, 546234.0)	(64.0, 427533.5)	(65.0, 353163.0)	(66.0, 290972.0)	(67.0, 277902.5)	(68.0, 342043.0)	(69.0, 395930.5)	(70.0, 358520.5)	(71.0, 402201.0)	(72.0, 428425.0)	(73.0, 417305.5)	(74.0, 421062.5)	(75.0, 471123.0)	(76.0, 460880.0)	(77.0, 621318.5)	(78.0, 559098.5)	(79.0, 282528.5)	(80.0, 284069.5)	(81.0, 241327.5)	(82.0, 251725.0)	(83.0, 240837.0)	(84.0, 237054.5)	(85.0, 218124.0)	(86.0, 261509.5)	(87.0, 293621.5)	(88.0, 205240.5)	(89.0, 117210.5)	(90.0, 56619.5)	(91.0, 24291.5)	(92.0, 11300.5)	(93.0, 3984.5)	(94.0, 1731.5)	(95.0, 848.5)	(96.0, 442.0)	(97.0, 226.0)	(98.0, 111.5)	(99.0, 64.5)	(100.0, 59.5)
GSM8263919_2	(0.0, 2060.0)	(1.0, 1725.5)	(2.0, 1279.5)	(3.0, 1141.0)	(4.0, 1159.5)	(5.0, 1254.5)	(6.0, 1349.5)	(7.0, 1473.5)	(8.0, 1696.5)	(9.0, 1877.0)	(10.0, 2074.5)	(11.0, 2486.5)	(12.0, 3026.0)	(13.0, 3627.5)	(14.0, 4428.0)	(15.0, 5656.5)	(16.0, 7160.0)	(17.0, 9495.0)	(18.0, 13041.0)	(19.0, 17563.0)	(20.0, 24288.0)	(21.0, 36419.0)	(22.0, 50313.0)	(23.0, 64645.0)	(24.0, 82156.5)	(25.0, 109961.0)	(26.0, 156465.0)	(27.0, 253799.5)	(28.0, 293752.5)	(29.0, 282653.0)	(30.0, 325357.5)	(31.0, 374704.5)	(32.0, 436458.0)	(33.0, 489268.0)	(34.0, 541323.5)	(35.0, 614877.0)	(36.0, 676141.0)	(37.0, 719915.5)	(38.0, 754897.0)	(39.0, 803792.0)	(40.0, 871815.0)	(41.0, 923336.5)	(42.0, 969191.0)	(43.0, 1032688.0)	(44.0, 1142940.0)	(45.0, 1201559.5)	(46.0, 1206251.0)	(47.0, 1260265.5)	(48.0, 1320036.0)	(49.0, 1338400.0)	(50.0, 1315044.5)	(51.0, 1281875.0)	(52.0, 1264230.0)	(53.0, 1242657.0)	(54.0, 1186832.5)	(55.0, 1115001.0)	(56.0, 1020777.0)	(57.0, 927996.5)	(58.0, 853342.0)	(59.0, 785187.0)	(60.0, 735108.5)	(61.0, 757740.0)	(62.0, 674721.0)	(63.0, 524792.5)	(64.0, 454087.5)	(65.0, 383581.0)	(66.0, 355055.5)	(67.0, 346983.0)	(68.0, 333117.5)	(69.0, 367033.0)	(70.0, 358737.0)	(71.0, 352108.5)	(72.0, 368309.0)	(73.0, 318641.0)	(74.0, 289138.0)	(75.0, 295345.0)	(76.0, 312687.5)	(77.0, 358852.0)	(78.0, 371073.5)	(79.0, 424011.5)	(80.0, 471588.0)	(81.0, 450739.5)	(82.0, 613567.0)	(83.0, 762867.0)	(84.0, 715886.0)	(85.0, 630686.0)	(86.0, 453518.0)	(87.0, 238018.5)	(88.0, 126682.5)	(89.0, 65677.0)	(90.0, 34424.5)	(91.0, 20192.5)	(92.0, 10675.0)	(93.0, 5646.0)	(94.0, 3045.0)	(95.0, 1659.0)	(96.0, 962.0)	(97.0, 640.0)	(98.0, 619.5)	(99.0, 1945.0)	(100.0, 17524.5)
