Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
GSM8263915_1	(22.0, 13.0)	(23.0, 71.0)	(24.0, 581.0)	(25.0, 2805.0)	(26.0, 10527.0)	(27.0, 33642.0)	(28.0, 87467.0)	(29.0, 199492.0)	(30.0, 387061.0)	(31.0, 688779.0)	(32.0, 1147152.0)	(33.0, 1945982.0)	(34.0, 3717755.0)	(35.0, 9763799.0)	(36.0, 21682794.0)	(37.0, 498797.0)				
GSM8263915_2	(19.0, 1.0)	(20.0, 0.0)	(21.0, 8.0)	(22.0, 82.0)	(23.0, 578.0)	(24.0, 3000.0)	(25.0, 12008.0)	(26.0, 37981.0)	(27.0, 103464.0)	(28.0, 236845.0)	(29.0, 482332.0)	(30.0, 871482.0)	(31.0, 1489106.0)	(32.0, 2485205.0)	(33.0, 4345097.0)	(34.0, 8097346.0)	(35.0, 13171011.0)	(36.0, 8708478.0)	(37.0, 122693.0)	
GSM8263916_1	(22.0, 11.0)	(23.0, 92.0)	(24.0, 573.0)	(25.0, 2997.0)	(26.0, 11614.0)	(27.0, 36653.0)	(28.0, 95622.0)	(29.0, 214851.0)	(30.0, 414905.0)	(31.0, 730554.0)	(32.0, 1204851.0)	(33.0, 2018956.0)	(34.0, 3789868.0)	(35.0, 9345026.0)	(36.0, 18368977.0)	(37.0, 375861.0)				
GSM8263916_2	(20.0, 1.0)	(21.0, 5.0)	(22.0, 46.0)	(23.0, 353.0)	(24.0, 1862.0)	(25.0, 7049.0)	(26.0, 21907.0)	(27.0, 59121.0)	(28.0, 138081.0)	(29.0, 292141.0)	(30.0, 547736.0)	(31.0, 971339.0)	(32.0, 1667462.0)	(33.0, 3013101.0)	(34.0, 6036014.0)	(35.0, 12200902.0)	(36.0, 11448271.0)	(37.0, 206020.0)		
GSM8263917_1	(21.0, 1.0)	(22.0, 6.0)	(23.0, 114.0)	(24.0, 547.0)	(25.0, 2561.0)	(26.0, 9943.0)	(27.0, 30824.0)	(28.0, 79959.0)	(29.0, 179671.0)	(30.0, 347853.0)	(31.0, 618415.0)	(32.0, 1022638.0)	(33.0, 1728443.0)	(34.0, 3302337.0)	(35.0, 8845562.0)	(36.0, 20026950.0)	(37.0, 436698.0)			
GSM8263917_2	(21.0, 6.0)	(22.0, 64.0)	(23.0, 536.0)	(24.0, 2736.0)	(25.0, 10486.0)	(26.0, 32442.0)	(27.0, 89026.0)	(28.0, 203258.0)	(29.0, 417234.0)	(30.0, 760554.0)	(31.0, 1313723.0)	(32.0, 2215484.0)	(33.0, 3938438.0)	(34.0, 7449810.0)	(35.0, 12157402.0)	(36.0, 7929571.0)	(37.0, 111752.0)			
GSM8263918_1	(22.0, 12.0)	(23.0, 98.0)	(24.0, 646.0)	(25.0, 2994.0)	(26.0, 11201.0)	(27.0, 36206.0)	(28.0, 94291.0)	(29.0, 213226.0)	(30.0, 410456.0)	(31.0, 721213.0)	(32.0, 1192863.0)	(33.0, 2004462.0)	(34.0, 3790864.0)	(35.0, 9739408.0)	(36.0, 20640841.0)	(37.0, 447251.0)				
GSM8263918_2	(20.0, 4.0)	(21.0, 8.0)	(22.0, 60.0)	(23.0, 411.0)	(24.0, 2040.0)	(25.0, 8063.0)	(26.0, 25001.0)	(27.0, 68647.0)	(28.0, 159258.0)	(29.0, 335813.0)	(30.0, 623766.0)	(31.0, 1092143.0)	(32.0, 1851198.0)	(33.0, 3310548.0)	(34.0, 6617648.0)	(35.0, 13207606.0)	(36.0, 11802024.0)	(37.0, 201794.0)		
GSM8263919_1	(22.0, 10.0)	(23.0, 107.0)	(24.0, 639.0)	(25.0, 3066.0)	(26.0, 11275.0)	(27.0, 34393.0)	(28.0, 87597.0)	(29.0, 193279.0)	(30.0, 366139.0)	(31.0, 633986.0)	(32.0, 1040455.0)	(33.0, 1744546.0)	(34.0, 3380018.0)	(35.0, 9459423.0)	(36.0, 24466575.0)	(37.0, 626798.0)				
GSM8263919_2	(19.0, 1.0)	(20.0, 1.0)	(21.0, 8.0)	(22.0, 61.0)	(23.0, 475.0)	(24.0, 2416.0)	(25.0, 9582.0)	(26.0, 29638.0)	(27.0, 79985.0)	(28.0, 183970.0)	(29.0, 379369.0)	(30.0, 699402.0)	(31.0, 1231515.0)	(32.0, 2128122.0)	(33.0, 3910282.0)	(34.0, 7897502.0)	(35.0, 14516145.0)	(36.0, 10819202.0)	(37.0, 160630.0)	
GSM8263920_1	(18.0, 1.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 3.0)	(22.0, 24.0)	(23.0, 123.0)	(24.0, 673.0)	(25.0, 3051.0)	(26.0, 11335.0)	(27.0, 35574.0)	(28.0, 91454.0)	(29.0, 200926.0)	(30.0, 364928.0)	(31.0, 604018.0)	(32.0, 949156.0)	(33.0, 1555493.0)	(34.0, 3007985.0)	(35.0, 8615112.0)	(36.0, 30487082.0)	(37.0, 2069070.0)
GSM8263920_2	(20.0, 2.0)	(21.0, 10.0)	(22.0, 73.0)	(23.0, 455.0)	(24.0, 2042.0)	(25.0, 7712.0)	(26.0, 23031.0)	(27.0, 60972.0)	(28.0, 136242.0)	(29.0, 277836.0)	(30.0, 507307.0)	(31.0, 879314.0)	(32.0, 1483677.0)	(33.0, 2647611.0)	(34.0, 5392740.0)	(35.0, 12892364.0)	(36.0, 22710350.0)	(37.0, 974270.0)		
