Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
GSM8263915_1	(1.0, 12.209459485497048)	(2.0, 7.662660863423172)	(3.0, 5.556242971036855)	(4.0, 3.9931482252241377)	(5.0, 2.895178683039731)	(6.0, 2.172839888486766)	(7.0, 1.6903162328058756)	(8.0, 1.3655297066043042)	(9.0, 1.1025094847316341)	('>10', 13.011043770729877)	('>50', 4.074646668991369)	('>100', 7.830277491488529)	('>500', 3.357421827408322)	('>1k', 9.030984281555828)	('>5k', 4.654753735223809)	('>10k+', 19.39298668375265)
GSM8263915_2	(1.0, 22.467155907638322)	(2.0, 10.219884666731385)	(3.0, 7.090415127946308)	(4.0, 4.523974954250049)	(5.0, 3.1856536147157466)	(6.0, 2.1262053467256004)	(7.0, 1.5696637552652075)	(8.0, 1.1413655015225481)	(9.0, 0.8793896946709019)	('>10', 9.117132070455881)	('>50', 2.830667364460342)	('>100', 5.529055986620295)	('>500', 3.18440017985448)	('>1k', 11.220825453775547)	('>5k', 4.197112125825158)	('>10k+', 10.717098249542358)
GSM8263916_1	(1.0, 16.228209715301354)	(2.0, 9.09495292003477)	(3.0, 6.010993478103437)	(4.0, 4.0296604136208405)	(5.0, 2.7928873067749653)	(6.0, 2.0621108432030546)	(7.0, 1.6698943559402861)	(8.0, 1.3047363503359106)	(9.0, 1.0734549037768109)	('>10', 11.88562879627117)	('>50', 3.499059728214932)	('>100', 6.886080966530367)	('>500', 3.058599820188923)	('>1k', 8.336825133369448)	('>5k', 4.377424475892257)	('>10k+', 17.68948079244142)
GSM8263916_2	(1.0, 24.632708972354134)	(2.0, 12.106000902608338)	(3.0, 7.433509944317848)	(4.0, 4.380009707908497)	(5.0, 2.6738565708214375)	(6.0, 1.7225744395443825)	(7.0, 1.298968854026686)	(8.0, 0.984033875495679)	(9.0, 0.7726734409531082)	('>10', 7.587654045599457)	('>50', 2.418627511242961)	('>100', 5.44999874837324)	('>500', 3.389693449108397)	('>1k', 10.243659793257304)	('>5k', 4.499644262824462)	('>10k+', 10.40638548156409)
GSM8263917_1	(1.0, 15.777963180464393)	(2.0, 10.177915662723914)	(3.0, 6.867254674693426)	(4.0, 4.8286077156421925)	(5.0, 3.505524894449584)	(6.0, 2.5255890238386374)	(7.0, 1.9235508923409115)	(8.0, 1.5050772169482034)	(9.0, 1.1919103749693107)	('>10', 13.022151042665445)	('>50', 3.508127945995318)	('>100', 6.737655973749394)	('>500', 2.7883242595549538)	('>1k', 7.608889102103523)	('>5k', 3.3931970681489494)	('>10k+', 14.638260971711878)
GSM8263917_2	(1.0, 27.861429093318655)	(2.0, 13.033635175372208)	(3.0, 8.212949272244966)	(4.0, 5.033135854671281)	(5.0, 3.133409521381984)	(6.0, 1.9887690012917305)	(7.0, 1.370846461177331)	(8.0, 1.0980108540795044)	(9.0, 0.8256843591446126)	('>10', 7.673944148027194)	('>50', 2.2628714159362744)	('>100', 4.719906444527608)	('>500', 3.049599991754964)	('>1k', 8.696224307650763)	('>5k', 3.61203848892732)	('>10k+', 7.4275456104936755)
GSM8263918_1	(1.0, 14.217371079000806)	(2.0, 8.002690329169154)	(3.0, 5.258509690062939)	(4.0, 3.532563773208688)	(5.0, 2.4250447122479404)	(6.0, 1.8124166383191205)	(7.0, 1.411389051737288)	(8.0, 1.160727626302651)	(9.0, 0.9809173135096293)	('>10', 11.932900053914713)	('>50', 3.798120300286211)	('>100', 7.431868329472851)	('>500', 3.2745059567394006)	('>1k', 8.573345064342499)	('>5k', 5.041907933221669)	('>10k+', 21.145722148464415)
GSM8263918_2	(1.0, 22.47103853076063)	(2.0, 10.866363087213118)	(3.0, 6.4619704171083105)	(4.0, 3.856519647409878)	(5.0, 2.5207250052137393)	(6.0, 1.7087320775717236)	(7.0, 1.3089675685858295)	(8.0, 0.9993293605096135)	(9.0, 0.8222479547602446)	('>10', 8.610957286879119)	('>50', 2.5476721184517648)	('>100', 5.395612644447433)	('>500', 3.255957081393926)	('>1k', 11.955086731456955)	('>5k', 5.4379892588946666)	('>10k+', 11.780831229342944)
GSM8263919_1	(1.0, 8.83463760117187)	(2.0, 5.802951751439979)	(3.0, 5.463876503062438)	(4.0, 5.193455629389324)	(5.0, 4.524763389310362)	(6.0, 3.9431678610823013)	(7.0, 3.2432050952444578)	(8.0, 2.652987722426065)	(9.0, 2.281204108098915)	('>10', 18.26811316627405)	('>50', 3.7978099530988003)	('>100', 6.853720080496317)	('>500', 2.8549361749007325)	('>1k', 7.6675969026183095)	('>5k', 3.6482521654459874)	('>10k+', 14.96932189594006)
GSM8263919_2	(1.0, 16.267977632463484)	(2.0, 8.030482164000572)	(3.0, 7.50476453138378)	(4.0, 6.647448668370673)	(5.0, 5.517503271833702)	(6.0, 4.573810280290911)	(7.0, 3.5609186185634)	(8.0, 2.7625268304716153)	(9.0, 2.1969018077866553)	('>10', 12.509647191359862)	('>50', 2.3125623894972636)	('>100', 4.489083531435839)	('>500', 2.8737155298811925)	('>1k', 9.122464404624504)	('>5k', 3.6551144148646806)	('>10k+', 7.975078733171856)
