Sample	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
GSM8263915	48.462933	35.602722	73.46	31.783011	65.58	3.819711						
GSM8263915_1							78.81966792431808	55.0	128.82020683940885	130	27.27272727272727	40.166717
GSM8263915_2							66.88870377516938	56.0	127.78555842639567	130	18.181818181818183	40.166717
GSM8263916	44.815937	32.231394	71.92	28.906022999999998	64.5	3.3253709999999996						
GSM8263916_1							74.04517655488985	55.0	128.65007543686312	130	27.27272727272727	36.611411
GSM8263916_2							64.03599823389281	56.0	128.29722637567835	130	18.181818181818183	36.611411
GSM8263917	44.517457	33.677232	75.65	30.88112	69.37	2.796112						
GSM8263917_1							73.10268743123729	53.0	128.80762869670835	130	27.27272727272727	36.632522
GSM8263917_2							59.7514578137159	54.0	127.8362209132093	130	27.27272727272727	36.632522
GSM8263918	47.540941	34.173238	71.89	30.238469	63.61	3.9347689999999997						
GSM8263918_1							77.15793748097042	55.0	128.77300270350364	130	27.27272727272727	39.306031999999995
GSM8263918_2							67.23644396905999	57.0	128.24719149976778	130	18.181818181818183	39.306031999999995
GSM8263919	50.160914	39.084154999999996	77.91999999999999	35.970532	71.71	3.113623						
GSM8263919_1							81.34614374379709	52.0	128.90208575822294	130	27.27272727272727	42.048306
GSM8263919_2							71.72037037262879	53.0	128.13475720044465	130	27.27272727272727	42.048306
GSM8263920	55.034765	44.168229	80.25	40.358253999999995	73.33	3.8099749999999997						
GSM8263920_1							84.11847271720623	51.0	128.99156519433868	130	18.181818181818183	47.996007999999996
GSM8263920_2							78.21893160434385	53.0	128.79296288557998	130	27.27272727272727	47.996007999999996
