Module	Section	Sample Name	Source
STAR	SummaryLog	GSM8263915	/localdisk/home/s2823303/FGT/ICA/GSE267325/alignment/GSM8263915Log.final.out
STAR	SummaryLog	GSM8263916	/localdisk/home/s2823303/FGT/ICA/GSE267325/alignment/GSM8263916Log.final.out
STAR	SummaryLog	GSM8263917	/localdisk/home/s2823303/FGT/ICA/GSE267325/alignment/GSM8263917Log.final.out
STAR	SummaryLog	GSM8263918	/localdisk/home/s2823303/FGT/ICA/GSE267325/alignment/GSM8263918Log.final.out
STAR	SummaryLog	GSM8263919	/localdisk/home/s2823303/FGT/ICA/GSE267325/alignment/GSM8263919Log.final.out
STAR	SummaryLog	GSM8263920	/localdisk/home/s2823303/FGT/ICA/GSE267325/alignment/GSM8263920Log.final.out
FastQC	all_sections	GSM8263915_1	/localdisk/home/s2823303/FGT/ICA/GSE267325/fastqc_tr/GSM8263915_1_fastqc.zip
FastQC	all_sections	GSM8263915_2	/localdisk/home/s2823303/FGT/ICA/GSE267325/fastqc_tr/GSM8263915_2_fastqc.zip
FastQC	all_sections	GSM8263916_1	/localdisk/home/s2823303/FGT/ICA/GSE267325/fastqc_tr/GSM8263916_1_fastqc.zip
FastQC	all_sections	GSM8263916_2	/localdisk/home/s2823303/FGT/ICA/GSE267325/fastqc_tr/GSM8263916_2_fastqc.zip
FastQC	all_sections	GSM8263917_1	/localdisk/home/s2823303/FGT/ICA/GSE267325/fastqc_tr/GSM8263917_1_fastqc.zip
FastQC	all_sections	GSM8263917_2	/localdisk/home/s2823303/FGT/ICA/GSE267325/fastqc_tr/GSM8263917_2_fastqc.zip
FastQC	all_sections	GSM8263918_1	/localdisk/home/s2823303/FGT/ICA/GSE267325/fastqc_tr/GSM8263918_1_fastqc.zip
FastQC	all_sections	GSM8263918_2	/localdisk/home/s2823303/FGT/ICA/GSE267325/fastqc_tr/GSM8263918_2_fastqc.zip
FastQC	all_sections	GSM8263919_1	/localdisk/home/s2823303/FGT/ICA/GSE267325/fastqc_tr/GSM8263919_1_fastqc.zip
FastQC	all_sections	GSM8263919_2	/localdisk/home/s2823303/FGT/ICA/GSE267325/fastqc_tr/GSM8263919_2_fastqc.zip
FastQC	all_sections	GSM8263920_1	/localdisk/home/s2823303/FGT/ICA/GSE267325/fastqc_tr/GSM8263920_1_fastqc.zip
FastQC	all_sections	GSM8263920_2	/localdisk/home/s2823303/FGT/ICA/GSE267325/fastqc_tr/GSM8263920_2_fastqc.zip
